date,mtgox,btc-e,bitstamp,btcchina
2013-11-11 18:55:00 +0800,2084.65,1868.84,1998.05,2121.87
2013-11-11 19:55:00 +0800,2073.89,1872.25,1992.3,2130.41
2013-11-11 20:55:00 +0800,2105.41,1892.61,2019.13,2136.31
2013-11-11 21:55:00 +0800,2168.65,1937.03,2065.6,2221.81
2013-11-11 22:55:00 +0800,2242.47,1977.7,2106.24,2251.79
2013-11-11 23:55:00 +0800,2242.2,1943.27,2102.06,2236.13
2013-11-12 00:55:00 +0800,2224.63,1950.42,2087.93,2217.88
2013-11-12 01:55:00 +0800,,1956.3,2070.81,2220.98
2013-11-12 02:55:00 +0800,2211.9,1920.77,2025.62,2206.5
2013-11-12 03:55:00 +0800,2249.9,1928.91,2025.23,2212.99
2013-11-12 04:55:00 +0800,2236.14,1941.46,2044.59,2215.81
2013-11-12 05:55:00 +0800,,1967.79,2056.43,2239.8
2013-11-12 06:55:00 +0800,2211.07,1949.0,2054.34,2218.25
2013-11-12 07:55:00 +0800,2198.65,1949.22,2083.85,2234.93
2013-11-12 08:55:00 +0800,2254.56,1982.91,2099.85,2274.68
2013-11-12 09:55:00 +0800,2269.77,1988.72,2084.09,2294.8
2013-11-12 10:55:00 +0800,2267.45,2015.25,2099.79,2332.79
2013-11-12 11:55:00 +0800,2273.78,2022.51,2082.6,2335.49
2013-11-12 12:55:00 +0800,2269.17,2035.92,2099.0,2390.36
2013-11-12 13:55:00 +0800,2314.25,2059.97,2108.59,2397.2
2013-11-12 14:55:00 +0800,2315.26,2055.72,2115.13,2416.95
2013-11-12 15:55:00 +0800,2312.83,2046.3,2100.81,2409.51
2013-11-12 16:55:00 +0800,2314.31,2053.17,2088.32,2411.88
2013-11-12 17:55:00 +0800,2347.99,2065.99,2160.73,2417.11
2013-11-12 18:55:00 +0800,2356.81,2083.07,2145.6,2408.96
2013-11-12 19:55:00 +0800,2297.21,2054.09,2113.74,2386.58
2013-11-12 20:55:00 +0800,2338.62,2075.8,2131.15,2374.24
2013-11-12 21:55:00 +0800,2326.0,2061.59,2124.02,2369.01
2013-11-12 22:55:00 +0800,2306.07,2042.15,2109.57,2335.92
2013-11-12 23:55:00 +0800,2327.31,2046.92,2130.85,2366.03
2013-11-13 00:55:00 +0800,2307.83,2056.62,2134.22,2364.77
2013-11-13 01:55:00 +0800,2319.87,2048.81,2131.14,2343.84
2013-11-13 02:55:00 +0800,2269.61,2040.61,2119.56,2338.13
2013-11-13 03:55:00 +0800,2217.72,2006.38,2119.08,2337.98
2013-11-13 04:55:00 +0800,2218.77,2011.23,2124.55,2351.0
2013-11-13 05:55:00 +0800,2244.68,2016.27,2117.67,2339.93
2013-11-13 06:55:00 +0800,2309.58,2071.96,2145.01,2382.74
2013-11-13 07:55:00 +0800,2316.27,2086.92,2150.87,2418.51
2013-11-13 08:55:00 +0800,2330.14,2102.77,2200.43,2432.93
2013-11-13 09:55:00 +0800,2339.49,2096.28,2177.23,2414.99
2013-11-13 10:55:00 +0800,2341.84,2126.43,2194.7,2423.73
2013-11-13 11:55:00 +0800,2354.6,2125.27,2205.77,2402.71
2013-11-13 12:55:00 +0800,2317.63,2111.7,2189.35,2395.47
2013-11-13 13:55:00 +0800,2342.75,2121.72,2211.76,2396.85
2013-11-13 14:55:00 +0800,2345.74,2116.43,2210.58,2391.32
2013-11-13 15:55:00 +0800,2353.91,2135.06,2223.98,2412.64
2013-11-13 16:55:00 +0800,2363.35,2157.88,2228.43,2406.85
2013-11-13 17:55:00 +0800,2367.83,2152.76,2243.9,2403.31
2013-11-13 18:55:00 +0800,2387.37,2164.04,2267.82,2410.13
2013-11-13 19:55:00 +0800,2419.39,2204.42,2271.25,2427.08
2013-11-13 20:55:00 +0800,2425.02,2217.94,2269.43,2435.05
2013-11-13 21:55:00 +0800,2476.19,2270.22,2302.41,2455.03
2013-11-13 22:55:00 +0800,2530.3,2306.52,2335.02,2484.81
2013-11-13 23:55:00 +0800,2512.3,2292.67,2302.71,2505.25
2013-11-14 00:55:00 +0800,2539.99,2300.23,2346.68,2502.88
2013-11-14 01:55:00 +0800,2555.99,2314.86,2362.57,2509.69
2013-11-14 02:55:00 +0800,2575.37,2324.87,2374.88,2522.63
2013-11-14 03:55:00 +0800,2599.27,2362.68,2375.53,2543.82
2013-11-14 04:55:00 +0800,2670.93,2398.79,2419.69,2574.7
